Date,CPI,,,,,,,,,,,,,,,,,,,,,,,SP74641,SP74642,SP74643,SP74644,SP74645,SP74646,SP74647,SP74648
2/1/80,0.069922559,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
3/1/80,0.071361092,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
4/1/80,0.07260858,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
5/1/80,0.073793032,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
6/1/80,0.075256398,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
7/1/80,0.077357837,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
8/1/80,0.078960659,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
9/1/80,0.079837539,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
10/1/80,0.081046816,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
11/1/80,0.082452877,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
12/1/80,0.084615448,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
1/1/81,0.08734159,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
2/1/81,0.08948697,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
3/1/81,0.091401185,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
4/1/81,0.09346251,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
5/1/81,0.094876204,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
6/1/81,0.096202023,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
7/1/81,0.097896547,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
8/1/81,0.099913932,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
9/1/81,0.101772751,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
10/1/81,0.104030846,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
11/1/81,0.106032942,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
12/1/81,0.108887079,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
1/1/82,0.114297332,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
2/1/82,0.118788688,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
3/1/82,0.123127202,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
4/1/82,0.129800232,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
5/1/82,0.137096053,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
6/1/82,0.143700303,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
7/1/82,0.151105018,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
8/1/82,0.168061726,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
9/1/82,0.177032969,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
10/1/82,0.186210533,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
11/1/82,0.195624985,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
12/1/82,0.216515209,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
1/1/83,0.240074262,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
2/1/83,0.252958004,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
3/1/83,0.265201761,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
4/1/83,0.281992263,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
5/1/83,0.294222649,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
6/1/83,0.305364105,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
7/1/83,0.320461993,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
8/1/83,0.332900609,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
9/1/83,0.34314609,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
10/1/83,0.35453207,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
11/1/83,0.375353527,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
12/1/83,0.391412349,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
1/1/84,0.41627812,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
